run_id,geo,event_date,window_days,keyword,max_around_event,mean_outside,ratio,label_type
hr_oluja_window_2024,HR,2024-08-05,3,Ustaše,0.0,0.1,0.0,slur
hr_oluja_window_2024,HR,2024-08-05,3,Oluja,31.0,1.0256,30.225,commemoration
hr_oluja_window_2024,HR,2024-08-05,3,Hrvatska,75.0,57.5385,1.303,broad
hr_oluja_window_2024,HR,2024-08-05,3,prosvjed,0.0,0.1,0.0,generic
hr_oluja_window_2024,HR,2024-08-05,3,izbori,1.0,0.5385,1.857,generic
hr_thompson_hipodrom_2025,HR,2025-07-05,3,Thompson,100.0,5.3333,18.75,commemoration
hr_thompson_hipodrom_2025,HR,2025-07-05,3,Hipodrom,23.0,0.8974,25.629,commemoration
hr_thompson_hipodrom_2025,HR,2025-07-05,3,Zagreb,81.0,57.2051,1.416,commemoration
hr_thompson_hipodrom_2025,HR,2025-07-05,3,koncert,71.0,4.1538,17.093,commemoration
hr_thompson_hipodrom_2025,HR,2025-07-05,3,Croatia,19.0,15.7692,1.205,broad
us_capitol_contested_2021,US,2021-01-06,3,MAGA,22.0,6.8761,3.199,slur_adjacent
us_capitol_contested_2021,US,2021-01-06,3,libtard,0.0,0.1,0.0,slur
us_capitol_contested_2021,US,2021-01-06,3,Capitol riot,43.0,3.5487,12.117,contested_framing
us_capitol_contested_2021,US,2021-01-06,3,Stop the Steal,7.0,1.0619,6.592,contested_framing
us_capitol_contested_2021,US,2021-01-06,3,January 6th,13.0,1.1327,11.477,contested_framing
us_kirk_2025,US,2025-09-10,3,Charlie Kirk,100.0,2.8,35.714,contested_framing
us_kirk_2025,US,2025-09-10,3,MAGA,0.0,0.1,0.0,slur_adjacent
us_kirk_2025,US,2025-09-10,3,assassination,2.0,0.1,20.0,contested_framing
us_kirk_2025,US,2025-09-10,3,Turning Point,2.0,0.2667,7.5,contested_framing
us_kirk_2025,US,2025-09-10,3,Trump,5.0,3.7667,1.327,contested_framing
